,Diesel,Kerosene,Regular,Super,Town,date,super_normed_price
180,86.56,61.72,112.02,97.37,Marsabit,2015-11-15,0.746530706126
181,82.89,58.05,108.7,93.7,Maua,2015-11-15,0.718393007744
182,82.34,57.49,108.2,93.15,Meru,2015-11-15,0.71417618646
183,83.7,58.59,109.04,94.32,Migori,2015-11-15,0.723146515372
184,80.64,55.72,106.34,91.26,Mogotio,2015-11-15,0.699685655141
185,80.74,55.82,106.43,91.36,Molo,2015-11-15,0.700452349919
186,76.38,52.1,102.92,87.16,Mombasa,2015-11-15,0.66825116921
187,82.31,57.47,108.17,93.12,Mtito Andei,2015-11-15,0.713946178027
188,80.24,55.4,106.3,91.05,Muranga,2015-11-15,0.698075596105
189,81.42,56.58,107.37,92.23,Mwingi,2015-11-15,0.707122594495
190,79.66,54.81,105.76,90.46,Nairobi,2015-11-15,0.69355209691
191,80.93,56.01,106.61,91.55,Naivasha,2015-11-15,0.701909069999
192,80.58,55.66,106.28,91.21,Nakuru,2015-11-15,0.699302307751
193,81.31,56.47,107.26,92.12,Namanga,2015-11-15,0.706279230238
194,81.81,56.97,107.72,92.62,Nanyuki,2015-11-15,0.710112704132
195,81.12,56.27,107.09,91.92,Narok,2015-11-15,0.704745840681
196,82.06,57.22,107.94,92.87,Nkubu,2015-11-15,0.71202944108
197,80.82,55.9,106.51,91.44,Nyahururu,2015-11-15,0.701065705743
198,82.41,57.3,107.87,93.03,Nyamira,2015-11-15,0.713256152726
199,81.21,56.37,107.18,92.02,Nyeri,2015-11-15,0.70551253546
200,81.8,56.69,107.31,92.42,Oyugis,2015-11-15,0.708579314575
201,80.34,55.49,106.38,91.14,Sagana,2015-11-15,0.698765621406
202,82.14,57.03,107.63,92.77,Siaya,2015-11-15,0.711262746301
203,81.8,56.69,107.31,92.42,Sondu,2015-11-15,0.708579314575
204,82.98,57.87,108.38,93.6,Sotik,2015-11-15,0.717626312965
205,79.53,55.25,105.79,90.31,Taveta,2015-11-15,0.692402054742
206,79.8,54.95,105.89,90.6,Thika,2015-11-15,0.694625469601
207,77.98,53.69,104.38,88.76,Voi,2015-11-15,0.68051828567
208,87.91,63.06,113.24,98.72,Wajir,2015-11-15,0.75688108564
209,81.92,56.89,107.5,92.55,Webuye,2015-11-15,0.709576017787
210,85.27,58.8,108.03,95.94,Bomet,2015-10-15,0.735566970789
211,84.86,58.2,107.58,95.53,Bondo,2015-10-15,0.732423522196
212,85.26,58.68,108.01,95.93,Bungoma,2015-10-15,0.735490301311
213,85.86,59.2,108.48,96.53,Busia,2015-10-15,0.740090469984
214,84.17,57.77,107.34,95.03,Chuka,2015-10-15,0.728590048302
215,84.49,57.91,107.31,95.17,Eldoret,2015-10-15,0.729663420992
216,83.66,57.26,106.87,94.52,Embu,2015-10-15,0.72467990493
217,87,60.61,109.91,97.86,Garisa,2015-10-15,0.750287510542
218,83.35,56.89,106.29,94.02,Gilgil,2015-10-15,0.720846431036
219,86.23,59.57,108.82,96.9,Homabay,2015-10-15,0.742927240665
220,86.65,59.99,109.2,97.32,Isebania,2015-10-15,0.746147358736
221,85.67,59.27,108.7,96.53,Isiolo,2015-10-15,0.740090469984
222,84.62,58.15,107.44,95.29,Kabarnet,2015-10-15,0.730583454727
223,82.86,56.47,106.16,93.73,Kajiado,2015-10-15,0.718623016177
224,84.63,57.98,107.38,95.31,Kakamega,2015-10-15,0.730736793682
225,85.23,58.65,107.99,95.91,Kapenguria,2015-10-15,0.735336962355
226,84.51,57.93,107.33,95.18,Kapsabet,2015-10-15,0.72974009047
227,85.05,58.39,107.75,95.72,Kericho,2015-10-15,0.733880242276
228,85.86,59.2,108.48,96.53,Keroka,2015-10-15,0.740090469984
229,83.67,57.27,106.89,94.53,Kerugoya,2015-10-15,0.724756574408
230,84.13,57.73,107.3,94.99,Kiganjo,2015-10-15,0.72828337039
231,79.36,53.53,103.12,90.19,Kilifi,2015-10-15,0.691482021007
232,85.51,58.85,108.17,96.18,Kisii,2015-10-15,0.737407038258
233,84.56,57.91,107.3,95.23,Kisumu,2015-10-15,0.730123437859
234,84.83,58.25,107.62,95.5,Kitale,2015-10-15,0.732193513762
235,84.17,57.77,107.34,95.03,Kitui,2015-10-15,0.728590048302
236,79.48,53.65,103.26,90.31,Kwale,2015-10-15,0.692402054742
237,83.11,57.28,106.52,93.94,Lamu,2015-10-15,0.720233075213
238,89.88,63.48,112.51,100.74,Liboi,2015-10-15,0.772368320172
239,79.48,53.65,103.25,90.31,Likoni Mainland,2015-10-15,0.692402054742
240,92.37,65.79,114.46,103.05,Lokichogio,2015-10-15,0.790078969562
241,83.5,57.04,106.43,94.18,Londiani,2015-10-15,0.722073142682
242,80.38,54.55,104.08,91.21,Lungalunga,2015-10-15,0.699302307751
243,82.57,56.18,105.89,93.43,Machakos,2015-10-15,0.716322931841
244,83.02,56.62,106.3,93.88,Makuyu,2015-10-15,0.719773058345
245,85.72,59.13,108.43,96.39,Malaba,2015-10-15,0.739017097294
246,80.05,54.22,103.75,90.88,Malindi,2015-10-15,0.696772214981
247,96.24,69.84,118.28,107.1,Mandela,2015-10-15,0.821130108104
248,87.5,61.04,110.06,98.18,Maral,2015-10-15,0.752740933834
249,84.05,57.58,106.92,94.72,Marigat,2015-10-15,0.726213294487
